card_number;name;rarity;magic_ink_color;got;foil
1;TIMIDE;UNCOMMON;AMBER;6;1
2;JEAN-CHRISTOPHE;RARE;AMBER;1;0
3;CENDRILLON;RARE;AMBER;1;0
4;"COBRA BUBBLES";RARE;AMBER;4;0
5;PROF;UNCOMMON;AMBER;6;0
6;SIMPLET;UNCOMMON;AMBER;6;0
7;EUDORA;COMMON;AMBER;5;1
8;GASTON;UNCOMMON;AMBER;6;0
9;"GRAND DUKE";RARE;AMBER;1;0
10;GRINCHEUX;COMMON;AMBER;9;2
11;JOYEUX;COMMON;AMBER;11;0
12;"ROI LOUIE";SUPER;AMBER;2;0
13;"MICKEY MOUSE";SUPER;AMBER;5;0
14;MUFASA;LEGENDARY;AMBER;1;1
15;MULAN;COMMON;AMBER;9;0
16;MULAN;RARE;AMBER;6;0
17;NANA;UNCOMMON;AMBER;9;0
18;PORCINET;COMMON;AMBER;12;0
19;RAIPONCE;UNCOMMON;AMBER;3;0
20;RAIPONCE;COMMON;AMBER;7;0
21;DORMEUR;COMMON;AMBER;7;0
22;ATCHOUM;COMMON;AMBER;11;0
23;BLANCHE-NEIGE;COMMON;AMBER;10;0
24;BLANCHE-NEIGE;UNCOMMON;AMBER;10;0
25;BLANCHE-NEIGE;LEGENDARY;AMBER;0;0
26;"LA REINE";SUPER;AMBER;0;1
27;"LA REINE";COMMON;AMBER;15;2
28;"NE BOUGEZ PAS";COMMON;AMBER;15;0
29;"ULTIME COMBAT";UNCOMMON;AMBER;5;0
30;"PEIGNONS LES ROSES EN ROUGE";COMMON;AMBER;5;0
31;"LE GRAND GÉNIE DU MAL";RARE;AMBER;1;0
32;"DE ZÉRO EN HÉROS";UNCOMMON;AMBER;7;0
33;"PIERRE DE DRAGON";RARE;AMBER;4;0
34;"FLÛTE DE DORMEUR";RARE;AMBER;2;0
35;ARTHUR;SUPER;AMETHYST;0;0
36;"LA FEÉ BLEUE";UNCOMMON;AMETHYST;14;1
37;ZIP;COMMON;AMETHYST;9;1
38;"DR. FACILIER";COMMON;AMETHYST;10;2
39;ELSA;COMMON;AMETHYST;11;0
40;"LA BONNE FÉE";UNCOMMON;AMETHYST;7;0
41;"LA BONNE FÉE";LEGENDARY;AMETHYST;3;0
42;"LA BONNE FÉE";COMMON;AMETHYST;15;1
43;HEIHEI;UNCOMMON;AMETHYST;7;0
44;"JIMINY CRICKET";COMMON;AMETHYST;9;0
45;KUZCO;COMMON;AMETHYST;6;0
46;"MADAME MIME";RARE;AMETHYST;0;2
47;"MADAME MIME";LEGENDARY;AMETHYST;1;0
48;"MADAME MIME";RARE;AMETHYST;2;0
49;"MADAME MIME";UNCOMMON;AMETHYST;7;2
50;MERLIN;COMMON;AMETHYST;7;1
51;MERLIN;UNCOMMON;AMETHYST;7;0
52;MERLIN;RARE;AMETHYST;5;0
53;MERLIN;RARE;AMETHYST;2;1
54;MERLIN;COMMON;AMETHYST;12;2
55;"OMBRE DE PETER PAN";SUPER;AMETHYST;2;1
56;PINOCCHIO;RARE;AMETHYST;1;0
57;PINOCCHIO;UNCOMMON;AMETHYST;4;0
58;PINOCCHIO;UNCOMMON;AMETHYST;8;0
59;"WINNIE L'OURSON";COMMON;AMETHYST;12;0
60;YZMA;SUPER;AMETHYST;0;1
61;YZMA;UNCOMMON;AMETHYST;8;1
62;"LE MACABRE ET LA TERREUR";RARE;AMETHYST;3;0
63;"JE SUIS COINCÉ";COMMON;AMETHYST;8;0
64;"LA LÉGENDE DE L'ÉPÉE DANS L'ENCLUME";COMMON;AMETHYST;6;0
65;"CONTRAT IRRÉVOCABLE";UNCOMMON;AMETHYST;5;0
66;"MAILLET DE CROQUET";COMMON;AMETHYST;13;3
67;"PANNEAUX DÉROUTANTS";RARE;AMETHYST;5;0
68;"GRIMOIRE DU SORCIER";RARE;AMETHYST;0;1
69;ARTHUR;COMMON;EMERALD;9;0
70;"LA BÊTE";LEGENDARY;EMERALD;0;0
71;BELLE;UNCOMMON;EMERALD;2;0
72;BELLE;LEGENDARY;EMERALD;2;0
73;BUCKY;UNCOMMON;EMERALD;5;1
74;"CHAT DU CHESHIRE";UNCOMMON;EMERALD;7;0
75;"CHAT DU CHESHIRE";SUPER;EMERALD;3;0
76;DAISY;UNCOMMON;EMERALD;4;0
77;DONALD;UNCOMMON;EMERALD;9;0
78;DONALD;COMMON;EMERALD;11;2
79;"DR. FACILIER";SUPER;EMERALD;4;1
80;L'ENCHANTERESSE;COMMON;EMERALD;5;0
81;"FLYNN RIDER";COMMON;EMERALD;14;2
82;"FLYNN RIDER";RARE;EMERALD;0;0
83;GASTON;COMMON;EMERALD;12;0
84;"PETIT JEAN";RARE;EMERALD;3;0
85;LUCIFER;RARE;EMERALD;0;0
86;PEINE;UNCOMMON;EMERALD;3;0
87;PANIQUE;COMMON;EMERALD;9;0
